,Fiscal Year,US Category Name,Constant Dollar Amount
420,1984,Peace and Security,14492281255
421,1985,Economic Development,31122722626
422,1985,Peace and Security,11973844137
423,1986,Economic Development,25087743993
424,1986,Peace and Security,11752322805
425,1987,Economic Development,21263143248
426,1987,Multi-sector,43176995
427,1987,Peace and Security,9523569336
428,1988,"Democracy, Human Rights, and Governance",165393364
429,1988,Economic Development,21073372563
430,1988,Multi-sector,38630594
431,1988,Peace and Security,9137739099
432,1989,"Democracy, Human Rights, and Governance",176969343
433,1989,Economic Development,20449295465
434,1989,Multi-sector,27355342
435,1989,Peace and Security,9400796358
436,1990,"Democracy, Human Rights, and Governance",252324602
437,1990,Economic Development,21461135800
438,1990,Multi-sector,21013744
439,1990,Peace and Security,10194359247
440,1991,"Democracy, Human Rights, and Governance",259409354
441,1991,Economic Development,22393720605
442,1991,Multi-sector,15296192
443,1991,Peace and Security,9635019252
444,1992,"Democracy, Human Rights, and Governance",262268600
445,1992,Economic Development,17950408046
446,1992,Education and Social Services,19481328
447,1992,Humanitarian Assistance,1327798606
448,1992,Multi-sector,15214917
449,1992,Peace and Security,8647562704
450,1993,"Democracy, Human Rights, and Governance",279246970
451,1993,Economic Development,16947754921
452,1993,Humanitarian Assistance,1359900275
453,1993,Multi-sector,13883964
454,1993,Peace and Security,8765904245
455,1994,"Democracy, Human Rights, and Governance",194710410
456,1994,Economic Development,13473530387
457,1994,Humanitarian Assistance,1453091311
458,1994,Multi-sector,14023241
459,1994,Peace and Security,7565667503
460,1995,"Democracy, Human Rights, and Governance",190602965
461,1995,Economic Development,15139484586
462,1995,Education and Social Services,9120592
463,1995,Humanitarian Assistance,1308959007
464,1995,Multi-sector,11882307
465,1995,Peace and Security,7207421864
466,1995,Program Support,7233614
467,1996,"Democracy, Human Rights, and Governance",201033371
468,1996,Economic Development,12104339142
469,1996,Humanitarian Assistance,1715291403
470,1996,Multi-sector,12468400
471,1996,Peace and Security,8095387715
472,1996,Program Support,478409
473,1997,"Democracy, Human Rights, and Governance",349342639
474,1997,Economic Development,11907999551
475,1997,Humanitarian Assistance,1834533763
476,1997,Multi-sector,12250980
477,1997,Peace and Security,6850757450
478,1997,Program Support,261030
479,1998,"Democracy, Human Rights, and Governance",392630325
480,1998,Economic Development,12664674721
481,1998,Environment,588537
482,1998,Health,3417298
483,1998,Humanitarian Assistance,2075332489
484,1998,Multi-sector,37780751
485,1998,Peace and Security,6567427598
486,1999,"Democracy, Human Rights, and Governance",808841054
487,1999,Economic Development,10712555278
488,1999,Environment,153421
489,1999,Health,102183395
490,1999,Humanitarian Assistance,3328436481
491,1999,Multi-sector,2304273254
492,1999,Peace and Security,6797494760
493,1999,Program Support,182751472
494,2000,"Democracy, Human Rights, and Governance",2193048199
495,2000,Economic Development,7403703622
496,2000,Education and Social Services,124545
497,2000,Environment,1395991
498,2000,Health,150279572
499,2000,Humanitarian Assistance,3177083410
500,2000,Multi-sector,1772663038
501,2000,Peace and Security,8176949953
502,2000,Program Support,181970208
503,2001,"Democracy, Human Rights, and Governance",4801170877
504,2001,Economic Development,3201470961
505,2001,Education and Social Services,1499942470
506,2001,Environment,324431023
507,2001,Health,1315462624
508,2001,Humanitarian Assistance,4021850446
509,2001,Multi-sector,3596635050
510,2001,Peace and Security,13269283699
511,2001,Program Support,745816303
512,2002,"Democracy, Human Rights, and Governance",1957791797
513,2002,Economic Development,5355319820
514,2002,Education and Social Services,1858836190
515,2002,Environment,237042326
