STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,AG_LND_AGRI_ZS,Agricultural land (% of land area),2020,,48.61,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,AG_LND_AGRI_ZS,Agricultural land (% of land area),2019,,48.61,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TV,Tuvalu,AG_LND_AGRI_ZS,Agricultural land (% of land area),2017,,60,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TV,Tuvalu,AG_LND_AGRI_ZS,Agricultural land (% of land area),2016,,60,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TV,Tuvalu,AG_LND_AGRI_ZS,Agricultural land (% of land area),2021,,60,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TV,Tuvalu,AG_LND_AGRI_ZS,Agricultural land (% of land area),2020,,60,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TV,Tuvalu,AG_LND_AGRI_ZS,Agricultural land (% of land area),2019,,60,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,AG_LND_AGRI_ZS,Agricultural land (% of land area),2017,,31.48,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,AG_LND_AGRI_ZS,Agricultural land (% of land area),2016,,31.48,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,AG_LND_AGRI_ZS,Agricultural land (% of land area),2021,,29.63,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,AG_LND_AGRI_ZS,Agricultural land (% of land area),2020,,29.63,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,GU,Guam,AG_LND_AGRI_ZS,Agricultural land (% of land area),2019,,29.63,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),AG_LND_AGRI_ZS,Agricultural land (% of land area),2017,,7.14,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),AG_LND_AGRI_ZS,Agricultural land (% of land area),2016,,7.14,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),AG_LND_AGRI_ZS,Agricultural land (% of land area),2021,,7.14,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),AG_LND_AGRI_ZS,Agricultural land (% of land area),2020,,7.14,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,FM,Micronesia (Federated States of),AG_LND_AGRI_ZS,Agricultural land (% of land area),2019,,7.14,,,,,,,,,,,
