,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,value
133,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2016,3.7
134,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2017,5.1
135,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2018,4.63
136,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2019,5.24
137,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2020,6.06
138,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2021,8.33
139,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2022,9.6
140,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2000,0.0
141,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2001,0.0
142,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2002,0.0
143,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2003,0.0
144,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2004,0.0
145,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2005,0.0
146,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2006,0.07
147,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2007,0.08
148,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2008,0.08
149,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2009,0.04
150,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2010,0.03
151,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2011,0.05
152,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2012,0.07
153,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2013,0.06
154,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2014,0.05
155,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2015,0.1
156,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2016,0.18
157,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2017,0.6
158,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2018,0.66
159,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2019,0.59
160,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2020,1.34
161,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2021,1.72
162,A,EG_FEC_RNEW,NR,_T,_T,_T,_T,_T,_T,_Z,_T,2022,1.75
163,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2000,0.6
164,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2001,0.58
165,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2002,0.63
166,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2003,0.71
167,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2004,0.79
168,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2005,0.83
169,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2006,0.79
170,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2007,0.96
171,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2008,0.57
172,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2009,0.87
173,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2010,1.38
174,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2011,1.27
175,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2012,1.19
176,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2013,1.17
177,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2014,1.16
178,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2015,1.11
179,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2016,1.05
180,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2017,1.07
181,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2018,3.02
182,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2019,3.01
183,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2020,3.08
184,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2021,3.0
185,A,EG_FEC_RNEW,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2022,2.8
186,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2000,8.48
187,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2001,6.37
188,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2002,5.87
189,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2003,6.79
190,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2004,7.54
191,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2005,7.58
192,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2006,9.49
193,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2007,9.21
194,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2008,8.78
195,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2009,8.76
196,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2010,7.37
197,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2011,6.82
198,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2012,6.64
199,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2013,6.49
200,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2014,7.45
201,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2015,7.83
202,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2016,8.08
203,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2017,8.07
204,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2018,7.71
205,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2019,7.65
206,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2020,8.24
207,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2021,7.44
208,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2022,8.66
209,A,EG_FEC_RNEW,PF,_T,_T,_T,_T,_T,_T,_Z,_T,2023,8.9
210,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2000,66.38
211,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2001,63.44
212,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2002,62.49
213,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2003,60.52
214,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2004,57.6
215,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2005,58.56
216,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2006,58.86
217,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2007,56.92
218,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2008,56.85
219,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2009,55.99
220,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2010,55.19
221,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2011,54.63
222,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2012,55.29
223,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2013,56.38
224,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2014,54.91
225,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2015,53.28
226,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2016,52.72
227,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2017,52.52
228,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2018,51.19
229,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2019,51.09
230,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2020,51.39
231,A,EG_FEC_RNEW,PG,_T,_T,_T,_T,_T,_T,_Z,_T,2021,51.62
