Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,income_level,trend,slope,r_value,p_value,percent_change
France,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,High income,decreasing,-0.06363636363636363,-0.5809777493735058,0.005747253093522673,-11.11111111111111
French Polynesia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Gabon,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",249.0,243.0,238.0,223.0,227.0,239.0,239.0,238.0,219.0,212.0,193.0,188.0,178.0,194.0,216.0,212.0,216.0,218.0,229.0,225.0,227.0,,,,Upper middle income,decreasing,-1.3246753246753242,-0.42991158341966657,0.051756827287708744,-8.835341365461847
"Gambia, The","Maternal mortality ratio (modeled estimate, per 100,000 live births)",778.0,748.0,772.0,770.0,745.0,718.0,689.0,698.0,667.0,647.0,620.0,597.0,575.0,598.0,543.0,535.0,505.0,494.0,512.0,474.0,458.0,,,,Low income,decreasing,-17.079220779220783,-0.9887253377831399,3.915136694692752e-17,-41.131105398457585
Georgia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",53.0,45.0,44.0,43.0,50.0,45.0,44.0,44.0,42.0,43.0,41.0,39.0,36.0,33.0,29.0,30.0,25.0,26.0,26.0,26.0,28.0,,,,Upper middle income,decreasing,-1.3220779220779224,-0.9396567237327493,2.6948794489962e-10,-47.16981132075472
Germany,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,,,High income,decreasing,-0.14935064935064937,-0.8874203552206053,8.183057877907923e-08,-42.857142857142854
Ghana,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",499.0,470.0,443.0,424.0,420.0,390.0,365.0,354.0,354.0,337.0,337.0,317.0,305.0,305.0,286.0,286.0,258.0,274.0,273.0,244.0,263.0,,,,Lower middle income,decreasing,-11.52857142857143,-0.9684711412203836,6.329366905964998e-13,-47.29458917835671
Gibraltar,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Greece,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,8.0,,,,High income,increasing,0.161038961038961,0.7418369893892159,0.0001184372077144474,100.0
Greenland,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Grenada,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",42.0,40.0,36.0,34.0,41.0,32.0,30.0,29.0,29.0,27.0,27.0,27.0,26.0,25.0,24.0,23.0,23.0,24.0,21.0,20.0,21.0,,,,Upper middle income,decreasing,-1.006493506493506,-0.9399130920180675,2.5906741597146054e-10,-50.0
Guam,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Guatemala,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",152.0,140.0,143.0,145.0,140.0,149.0,135.0,136.0,136.0,125.0,123.0,120.0,118.0,109.0,107.0,107.0,103.0,95.0,98.0,100.0,96.0,,,,Upper middle income,decreasing,-2.981818181818182,-0.9702665393953741,3.651750790762789e-13,-36.84210526315789
Guinea,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",971.0,943.0,929.0,916.0,887.0,846.0,817.0,764.0,737.0,744.0,741.0,744.0,679.0,677.0,661.0,649.0,626.0,572.0,568.0,556.0,553.0,,,,Lower middle income,decreasing,-21.44285714285714,-0.9883702264746681,5.249214906124451e-17,-43.04840370751803
Guinea-Bissau,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1300.0,1203.0,1136.0,1100.0,1008.0,977.0,875.0,845.0,841.0,804.0,795.0,767.0,758.0,742.0,733.0,713.0,673.0,705.0,648.0,710.0,725.0,,,,Low income,decreasing,-27.618181818181814,-0.9132766689567062,7.610260196240937e-09,-44.230769230769226
Guyana,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",190.0,190.0,173.0,180.0,172.0,172.0,177.0,168.0,150.0,145.0,148.0,142.0,136.0,133.0,131.0,128.0,127.0,123.0,118.0,110.0,112.0,,,,Upper middle income,decreasing,-4.089610389610391,-0.9814630842996228,4.284646605447123e-15,-41.05263157894737
