Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,income_level,trend,slope,r_value,p_value,percent_change
Solomon Islands,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",150.0,157.0,152.0,157.0,159.0,153.0,147.0,155.0,152.0,146.0,147.0,141.0,142.0,138.0,140.0,141.0,133.0,133.0,127.0,127.0,122.0,,,,Lower middle income,decreasing,-1.6077922077922084,-0.9247014992191627,2.081269765928765e-09,-18.666666666666668
Somalia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1097.0,1084.0,1087.0,1094.0,1102.0,1080.0,1068.0,1062.0,1015.0,951.0,963.0,940.0,863.0,828.0,793.0,761.0,711.0,683.0,651.0,606.0,621.0,,,,Low income,decreasing,-27.902597402597408,-0.9681884339916734,6.881947640520431e-13,-43.39106654512307
South Africa,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",173.0,168.0,193.0,205.0,232.0,221.0,208.0,218.0,216.0,225.0,219.0,194.0,164.0,151.0,141.0,141.0,127.0,133.0,125.0,118.0,127.0,,,,Upper middle income,decreasing,-4.664935064935066,-0.7333110998317753,0.00015544120650686503,-26.589595375722542
South Sudan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1687.0,1654.0,1668.0,1404.0,1372.0,1332.0,1301.0,1187.0,1138.0,1118.0,1060.0,1062.0,1067.0,1131.0,1172.0,1225.0,1288.0,1252.0,1275.0,1245.0,1223.0,,,,Low income,decreasing,-18.76623376623377,-0.6130092918261092,0.003129184585836786,-27.504445761707174
Spain,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,,,,High income,decreasing,-0.07662337662337662,-0.8294242967454114,3.3443537963041257e-06,-40.0
Sri Lanka,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",61.0,55.0,52.0,50.0,48.0,44.0,41.0,39.0,40.0,39.0,37.0,36.0,35.0,33.0,30.0,30.0,30.0,31.0,30.0,30.0,29.0,,,,Lower middle income,decreasing,-1.4376623376623376,-0.9469104408788916,8.214112685195596e-11,-52.459016393442624
St. Kitts and Nevis,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,Upper middle income,decreasing,,,,
St. Lucia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",87.0,80.0,67.0,67.0,83.0,82.0,79.0,80.0,80.0,80.0,73.0,74.0,75.0,74.0,72.0,80.0,64.0,64.0,61.0,72.0,73.0,,,,Upper middle income,decreasing,-0.6064935064935064,-0.5351602251587458,0.012423411355514327,-16.091954022988507
St. Vincent and the Grenadines,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",76.0,63.0,61.0,61.0,53.0,54.0,50.0,47.0,39.0,45.0,45.0,45.0,45.0,45.0,40.0,36.0,35.0,35.0,60.0,65.0,62.0,,,,Upper middle income,decreasing,-0.7064935064935064,-0.3863250538011435,0.08365628527771374,-18.421052631578945
Sudan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",642.0,636.0,624.0,598.0,564.0,525.0,499.0,443.0,450.0,394.0,383.0,354.0,330.0,323.0,301.0,298.0,301.0,290.0,293.0,298.0,270.0,,,,Low income,decreasing,-20.403896103896102,-0.9622666007488347,3.4041893897002e-12,-57.943925233644855
Suriname,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",278.0,274.0,260.0,250.0,229.0,190.0,192.0,181.0,169.0,153.0,138.0,131.0,131.0,133.0,135.0,125.0,105.0,99.0,98.0,100.0,96.0,,,,Upper middle income,decreasing,-9.451948051948055,-0.9592389089718377,7.00344131231745e-12,-65.46762589928058
Sweden,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,,,High income,decreasing,-0.05844155844155844,-0.6728168869300929,0.0008315094346363852,-16.666666666666664
Switzerland,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,8.0,6.0,7.0,7.0,7.0,,,,High income,decreasing,-0.1285714285714286,-0.8134086693454506,7.339568341214433e-06,-12.5
Syrian Arab Republic,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",34.0,29.0,26.0,24.0,25.0,23.0,21.0,21.0,22.0,20.0,21.0,24.0,26.0,29.0,29.0,30.0,29.0,31.0,31.0,33.0,30.0,,,,Low income,increasing,0.27532467532467536,0.3976429286145728,0.07424565185723409,-11.76470588235294
Tajikistan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",68.0,60.0,55.0,49.0,47.0,44.0,41.0,39.0,35.0,31.0,32.0,29.0,27.0,24.0,22.0,20.0,20.0,18.0,17.0,16.0,17.0,,,,Low income,decreasing,-2.4000000000000004,-0.9690971952429839,5.244104234801396e-13,-75.0
Tanzania,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",760.0,707.0,672.0,625.0,588.0,559.0,547.0,566.0,605.0,556.0,486.0,458.0,394.0,380.0,352.0,330.0,298.0,280.0,267.0,262.0,238.0,,,,Lower middle income,decreasing,-25.484415584415583,-0.9813029725240676,4.646531461836382e-15,-68.6842105263158
Thailand,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",48.0,48.0,40.0,40.0,42.0,40.0,38.0,38.0,37.0,37.0,35.0,34.0,32.0,31.0,31.0,30.0,29.0,29.0,29.0,29.0,29.0,,,,Upper middle income,decreasing,-0.9298701298701297,-0.9555050477896629,1.5870085601497585e-11,-39.58333333333333
Timor-Leste,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",750.0,736.0,685.0,650.0,624.0,584.0,547.0,486.0,451.0,416.0,376.0,358.0,322.0,309.0,283.0,285.0,262.0,256.0,249.0,224.0,204.0,,,,Lower middle income,decreasing,-28.420779220779217,-0.9781539176317038,2.0138833850898872e-14,-72.8
Togo,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",479.0,479.0,461.0,458.0,490.0,494.0,517.0,515.0,528.0,518.0,530.0,500.0,511.0,493.0,491.0,441.0,439.0,425.0,435.0,418.0,399.0,,,,Low income,decreasing,-3.351948051948052,-0.5358743652742043,0.012284800949351133,-16.701461377870565
Trinidad and Tobago,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",74.0,67.0,58.0,65.0,57.0,56.0,56.0,54.0,54.0,45.0,47.0,44.0,41.0,37.0,35.0,31.0,29.0,28.0,28.0,26.0,27.0,,,,High income,decreasing,-2.3285714285714287,-0.9816513948525621,3.891391720353655e-15,-63.51351351351351
Tunisia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",62.0,62.0,61.0,60.0,58.0,56.0,55.0,53.0,50.0,47.0,44.0,46.0,43.0,42.0,41.0,40.0,38.0,38.0,39.0,40.0,37.0,,,,Lower middle income,decreasing,-1.405194805194805,-0.9726168503968464,1.6855212609516841e-13,-40.32258064516129
Turkiye,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",32.0,30.0,29.0,28.0,27.0,25.0,24.0,23.0,23.0,22.0,22.0,23.0,21.0,20.0,19.0,19.0,20.0,17.0,17.0,17.0,17.0,,,,Upper middle income,decreasing,-0.7064935064935062,-0.9694315877983671,4.735320644638481e-13,-46.875
Turkmenistan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",26.0,25.0,22.0,20.0,18.0,17.0,15.0,13.0,11.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,,,,Upper middle income,decreasing,-1.0675324675324676,-0.9451648038440237,1.1093167366135578e-10,-80.76923076923077
Turks and Caicos Islands,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Tuvalu,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,Upper middle income,decreasing,,,,
Uganda,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",461.0,453.0,453.0,449.0,442.0,435.0,416.0,382.0,391.0,391.0,372.0,359.0,334.0,311.0,332.0,319.0,311.0,313.0,283.0,292.0,284.0,,,,Low income,decreasing,-9.85974025974026,-0.9823514121805437,2.6964879295112953e-15,-38.39479392624729
Ukraine,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",36.0,32.0,28.0,25.0,22.0,21.0,23.0,21.0,19.0,17.0,17.0,15.0,17.0,16.0,12.0,11.0,10.0,11.0,11.0,9.0,17.0,,,,Lower middle income,decreasing,-1.0623376623376624,-0.9023949581983051,2.2397107409463264e-08,-52.77777777777778
United Arab Emirates,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",22.0,19.0,18.0,13.0,13.0,13.0,12.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,,,,High income,decreasing,-0.5051948051948053,-0.8162595691027571,6.416609740758924e-06,-59.09090909090909
United Kingdom,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,,,,High income,decreasing,-0.14675324675324675,-0.7531102226122154,8.13398334846835e-05,-9.090909090909092
United States,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,14.0,15.0,16.0,16.0,17.0,17.0,18.0,19.0,19.0,20.0,21.0,,,,High income,increasing,0.41818181818181815,0.9566232167459137,1.2516254531269389e-11,75.0
Uzbekistan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",43.0,40.0,41.0,43.0,42.0,45.0,44.0,41.0,38.0,38.0,38.0,37.0,36.0,34.0,32.0,31.0,30.0,30.0,31.0,30.0,30.0,,,,Lower middle income,decreasing,-0.7883116883116883,-0.9272201786308673,1.5216108345658156e-09,-30.23255813953488
Vanuatu,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",109.0,98.0,96.0,97.0,97.0,98.0,97.0,98.0,86.0,88.0,93.0,95.0,87.0,87.0,92.0,92.0,94.0,94.0,97.0,93.0,94.0,,,,Lower middle income,decreasing,-0.3896103896103897,-0.47458295670955064,0.029720249263420116,-13.761467889908257
Viet Nam,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",88.0,76.0,72.0,70.0,67.0,66.0,66.0,64.0,62.0,61.0,60.0,58.0,56.0,54.0,53.0,52.0,51.0,52.0,51.0,50.0,46.0,,,,Lower middle income,decreasing,-1.5727272727272723,-0.9509115871853273,3.963718438236684e-11,-47.72727272727273
Virgin Islands (U.S.),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
West Bank and Gaza,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",62.0,64.0,64.0,60.0,60.0,54.0,54.0,51.0,50.0,47.0,43.0,41.0,36.0,32.0,30.0,26.0,24.0,22.0,21.0,20.0,20.0,,,,Lower middle income,decreasing,-2.557142857142858,-0.9892582340770474,2.4767169037480593e-17,-67.74193548387096
"Yemen, Rep.","Maternal mortality ratio (modeled estimate, per 100,000 live births)",275.0,266.0,241.0,222.0,210.0,196.0,183.0,168.0,168.0,155.0,157.0,155.0,158.0,151.0,156.0,164.0,172.0,179.0,176.0,181.0,183.0,,,,Low income,decreasing,-3.99090909090909,-0.6802230475453999,0.0006913124690867739,-33.45454545454545
Zambia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",419.0,363.0,337.0,308.0,312.0,309.0,306.0,296.0,320.0,327.0,268.0,233.0,221.0,191.0,169.0,166.0,155.0,156.0,145.0,129.0,135.0,,,,Lower middle income,decreasing,-13.45194805194805,-0.9607188515847935,4.957238557511581e-12,-67.78042959427208
Zimbabwe,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",388.0,589.0,443.0,534.0,488.0,533.0,558.0,656.0,685.0,670.0,618.0,562.0,528.0,495.0,441.0,408.0,400.0,366.0,359.0,393.0,357.0,,,,Lower middle income,decreasing,-8.374025974025974,-0.4875600591159188,0.024963284794645726,-7.989690721649484
