,latitude,longitude,ph_trend
261,-24.625,165.375,-0.0016210144
262,-24.625,165.625,-0.001624316
263,-24.625,165.875,-0.0016337115
264,-24.625,166.125,-0.0016349087
265,-24.625,166.375,-0.0016310225
266,-24.625,166.625,-0.0016358669
267,-24.625,166.875,-0.0016368971
268,-24.625,167.125,-0.0016301182
269,-24.625,167.375,-0.0016252184
270,-24.625,167.625,-0.0016256559
271,-24.625,167.875,-0.0016263998
272,-24.625,168.125,-0.0016251073
273,-24.625,168.375,-0.0016345078
274,-24.625,168.625,-0.0016379466
275,-24.625,168.875,-0.0016397423
276,-24.625,169.125,-0.0016414998
277,-24.625,169.375,-0.0016445061
278,-24.625,169.625,-0.0016524098
279,-24.625,169.875,-0.0016396644
280,-24.625,170.125,-0.0016500065
281,-24.625,170.375,-0.0016538454
282,-24.625,170.625,-0.0016494086
283,-24.625,170.875,-0.0016560595
284,-24.625,171.125,-0.001661703
285,-24.625,171.375,-0.0016721638
286,-24.625,171.625,-0.0016724849
287,-24.625,171.875,-0.0016659437
288,-24.625,172.125,-0.0016821999
289,-24.625,172.375,-0.0016762633
290,-24.625,172.625,-0.0016767825
291,-24.625,172.875,-0.0016625082
292,-24.625,173.125,-0.0016655305
293,-24.625,173.375,-0.0016525984
294,-24.625,173.625,-0.001658519
295,-24.625,173.875,-0.0016509354
296,-24.625,174.125,-0.0016514697
297,-24.625,174.375,-0.0016548812
298,-24.625,174.625,-0.0016524013
299,-24.625,174.875,-0.0016592455
300,-24.625,175.125,-0.0016628228
301,-24.625,175.375,-0.00165364
302,-24.625,175.625,-0.001656455
303,-24.625,175.875,-0.0016563495
304,-24.625,176.125,-0.0016524008
305,-24.625,176.375,-0.0016549171
306,-24.625,176.625,-0.0016427748
307,-24.625,176.875,-0.0016489525
308,-24.625,177.125,-0.0016415425
309,-24.625,177.375,-0.0016472875
310,-24.625,177.625,-0.0016478279
311,-24.625,177.875,-0.0016453128
312,-24.625,178.125,-0.0016500313
313,-24.625,178.375,-0.0016575999
314,-24.625,178.625,-0.0016647816
315,-24.625,178.875,-0.0016633016
316,-24.625,179.125,-0.0016688947
317,-24.625,179.375,-0.0016617009
318,-24.625,179.625,-0.0016512228
319,-24.625,179.875,-0.0016478216
320,-24.375,140.125,
321,-24.375,140.375,
322,-24.375,140.625,
323,-24.375,140.875,
324,-24.375,141.125,
325,-24.375,141.375,
326,-24.375,141.625,
327,-24.375,141.875,
328,-24.375,142.125,
329,-24.375,142.375,
330,-24.375,142.625,
331,-24.375,142.875,
332,-24.375,143.125,
333,-24.375,143.375,
334,-24.375,143.625,
335,-24.375,143.875,
336,-24.375,144.125,
337,-24.375,144.375,
338,-24.375,144.625,
339,-24.375,144.875,
340,-24.375,145.125,
341,-24.375,145.375,
342,-24.375,145.625,
343,-24.375,145.875,
344,-24.375,146.125,
345,-24.375,146.375,
346,-24.375,146.625,
347,-24.375,146.875,
348,-24.375,147.125,
349,-24.375,147.375,
350,-24.375,147.625,
351,-24.375,147.875,
352,-24.375,148.125,
353,-24.375,148.375,
354,-24.375,148.625,
355,-24.375,148.875,
356,-24.375,149.125,
357,-24.375,149.375,
358,-24.375,149.625,
359,-24.375,149.875,
360,-24.375,150.125,
361,-24.375,150.375,
362,-24.375,150.625,
363,-24.375,150.875,
364,-24.375,151.125,
365,-24.375,151.375,
366,-24.375,151.625,
367,-24.375,151.875,
368,-24.375,152.125,
369,-24.375,152.375,-0.0015997497
370,-24.375,152.625,-0.0015625588
371,-24.375,152.875,-0.0015400317
372,-24.375,153.125,-0.001516017
373,-24.375,153.375,-0.0015118032
374,-24.375,153.625,-0.0015155389
375,-24.375,153.875,-0.0015147119
376,-24.375,154.125,-0.0015155135
377,-24.375,154.375,-0.0015258862
378,-24.375,154.625,-0.0015219372
379,-24.375,154.875,-0.0015097762
380,-24.375,155.125,-0.0015203297
381,-24.375,155.375,-0.0015029359
382,-24.375,155.625,-0.0015120993
383,-24.375,155.875,-0.0015115496
384,-24.375,156.125,-0.0015145005
385,-24.375,156.375,-0.0015230685
386,-24.375,156.625,-0.0015257901
387,-24.375,156.875,-0.0015283719
388,-24.375,157.125,-0.0015316575
389,-24.375,157.375,-0.0015262901
390,-24.375,157.625,-0.0015309136
391,-24.375,157.875,-0.0015371223
392,-24.375,158.125,-0.0015418651
393,-24.375,158.375,-0.0015453644
394,-24.375,158.625,-0.0015472617
395,-24.375,158.875,-0.001552869
396,-24.375,159.125,-0.0015602445
397,-24.375,159.375,-0.0015606431
398,-24.375,159.625,-0.0015764567
399,-24.375,159.875,-0.0015842628
400,-24.375,160.125,-0.0015874692
401,-24.375,160.375,-0.0015833242
402,-24.375,160.625,-0.0015929975
403,-24.375,160.875,-0.0015944784
404,-24.375,161.125,-0.0015974633
405,-24.375,161.375,-0.0016065328
406,-24.375,161.625,-0.0016034084
407,-24.375,161.875,-0.0016102592
408,-24.375,162.125,-0.0016148442
409,-24.375,162.375,-0.0016144073
410,-24.375,162.625,-0.0016138722
411,-24.375,162.875,-0.0016153709
412,-24.375,163.125,-0.0016159476
413,-24.375,163.375,-0.0016188857
414,-24.375,163.625,-0.0016210065
415,-24.375,163.875,-0.0016242543
416,-24.375,164.125,-0.0016240948
417,-24.375,164.375,-0.0016238396
418,-24.375,164.625,-0.0016281379
419,-24.375,164.875,-0.0016258495
420,-24.375,165.125,-0.00162348
421,-24.375,165.375,-0.0016190289
422,-24.375,165.625,-0.0016291091
423,-24.375,165.875,-0.001628048
424,-24.375,166.125,-0.0016312196
425,-24.375,166.375,-0.0016281777
426,-24.375,166.625,-0.0016270813
427,-24.375,166.875,-0.0016299472
428,-24.375,167.125,-0.0016357373
429,-24.375,167.375,-0.001633773
430,-24.375,167.625,-0.0016185124
431,-24.375,167.875,-0.0016205697
432,-24.375,168.125,-0.0016160028
433,-24.375,168.375,-0.0016130541
434,-24.375,168.625,-0.001616163
435,-24.375,168.875,-0.0016200861
436,-24.375,169.125,-0.0016267161
437,-24.375,169.375,-0.0016224714
438,-24.375,169.625,-0.0016371058
439,-24.375,169.875,-0.0016287747
440,-24.375,170.125,-0.0016258642
441,-24.375,170.375,-0.0016317061
442,-24.375,170.625,-0.0016353083
443,-24.375,170.875,-0.0016454974
444,-24.375,171.125,-0.0016558315
445,-24.375,171.375,-0.0016521043
446,-24.375,171.625,-0.0016585493
447,-24.375,171.875,-0.0016627071
448,-24.375,172.125,-0.0016643067
449,-24.375,172.375,-0.0016733153
450,-24.375,172.625,-0.0016687366
451,-24.375,172.875,-0.0016622465
452,-24.375,173.125,-0.0016512565
453,-24.375,173.375,-0.0016429486
454,-24.375,173.625,-0.0016450153
455,-24.375,173.875,-0.0016386093
456,-24.375,174.125,-0.0016360456
457,-24.375,174.375,-0.0016430094
458,-24.375,174.625,-0.0016490946
459,-24.375,174.875,-0.0016551635
460,-24.375,175.125,-0.0016516655
461,-24.375,175.375,-0.0016525902
462,-24.375,175.625,-0.0016457717
463,-24.375,175.875,-0.0016383248
464,-24.375,176.125,-0.0016381327
465,-24.375,176.375,-0.001642622
466,-24.375,176.625,-0.0016404191
467,-24.375,176.875,-0.0016376547
468,-24.375,177.125,-0.001630102
469,-24.375,177.375,-0.001636603
470,-24.375,177.625,-0.001642907
471,-24.375,177.875,-0.0016353717
472,-24.375,178.125,-0.0016536992
473,-24.375,178.375,-0.0016460823
474,-24.375,178.625,-0.0016486197
475,-24.375,178.875,-0.0016604536
476,-24.375,179.125,-0.0016639038
477,-24.375,179.375,-0.0016578124
478,-24.375,179.625,-0.0016627283
479,-24.375,179.875,-0.0016543771
480,-24.125,140.125,
481,-24.125,140.375,
482,-24.125,140.625,
483,-24.125,140.875,
484,-24.125,141.125,
485,-24.125,141.375,
486,-24.125,141.625,
487,-24.125,141.875,
488,-24.125,142.125,
489,-24.125,142.375,
490,-24.125,142.625,
491,-24.125,142.875,
492,-24.125,143.125,
493,-24.125,143.375,
494,-24.125,143.625,
495,-24.125,143.875,
496,-24.125,144.125,
497,-24.125,144.375,
498,-24.125,144.625,
499,-24.125,144.875,
500,-24.125,145.125,
501,-24.125,145.375,
502,-24.125,145.625,
503,-24.125,145.875,
504,-24.125,146.125,
505,-24.125,146.375,
506,-24.125,146.625,
507,-24.125,146.875,
508,-24.125,147.125,
509,-24.125,147.375,
510,-24.125,147.625,
511,-24.125,147.875,
512,-24.125,148.125,
513,-24.125,148.375,
514,-24.125,148.625,
515,-24.125,148.875,
516,-24.125,149.125,
517,-24.125,149.375,
518,-24.125,149.625,
519,-24.125,149.875,
520,-24.125,150.125,
521,-24.125,150.375,
522,-24.125,150.625,
523,-24.125,150.875,
524,-24.125,151.125,
525,-24.125,151.375,
526,-24.125,151.625,
527,-24.125,151.875,
528,-24.125,152.125,
529,-24.125,152.375,-0.0015466243
530,-24.125,152.625,-0.0015219634
531,-24.125,152.875,-0.0015154063
532,-24.125,153.125,-0.0015143646
533,-24.125,153.375,-0.0015146348
534,-24.125,153.625,-0.0015044028
535,-24.125,153.875,-0.0015026169
536,-24.125,154.125,-0.0015031983
537,-24.125,154.375,-0.001509132
538,-24.125,154.625,-0.001509149
539,-24.125,154.875,-0.0015087178
540,-24.125,155.125,-0.0015111852
541,-24.125,155.375,-0.0015094044
542,-24.125,155.625,-0.0015185575
543,-24.125,155.875,-0.0015152503
544,-24.125,156.125,-0.0015239934
545,-24.125,156.375,-0.001520637
546,-24.125,156.625,-0.0015237007
547,-24.125,156.875,-0.0015370661
548,-24.125,157.125,-0.001531337
549,-24.125,157.375,-0.0015375194
550,-24.125,157.625,-0.0015353947
551,-24.125,157.875,-0.0015454383
552,-24.125,158.125,-0.0015423605
553,-24.125,158.375,-0.0015523266
554,-24.125,158.625,-0.0015493954
555,-24.125,158.875,-0.0015613473
556,-24.125,159.125,-0.0015567163
557,-24.125,159.375,-0.0015704207
558,-24.125,159.625,-0.0015655087
559,-24.125,159.875,-0.0015785379
560,-24.125,160.125,-0.0015810401
561,-24.125,160.375,-0.00158449
562,-24.125,160.625,-0.0015897418
563,-24.125,160.875,-0.001593388
564,-24.125,161.125,-0.0015987147
565,-24.125,161.375,-0.0016009788
566,-24.125,161.625,-0.001599788
567,-24.125,161.875,-0.0015980361
568,-24.125,162.125,-0.0016096866
569,-24.125,162.375,-0.0016110798
570,-24.125,162.625,-0.0016162633
571,-24.125,162.875,-0.0016269424
572,-24.125,163.125,-0.001616252
573,-24.125,163.375,-0.0016170874
574,-24.125,163.625,-0.0016179642
575,-24.125,163.875,-0.0016236496
576,-24.125,164.125,-0.0016265428
577,-24.125,164.375,-0.0016226848
578,-24.125,164.625,-0.0016280584
579,-24.125,164.875,-0.0016376292
580,-24.125,165.125,-0.0016204641
581,-24.125,165.375,-0.001619398
582,-24.125,165.625,-0.0016265513
583,-24.125,165.875,-0.0016219285
584,-24.125,166.125,-0.001624144
